ArtistId,ArtistName,AlbumId,TitleAlbum,TrackId,TrackName,TrackUnitPrice,TrackBytes,GenreId,GenreName
8,Audioslave,10,Audioslave,85,Cochise,0.99,5339931,1,Rock
8,Audioslave,10,Audioslave,86,Show Me How to Live,0.99,6672176,1,Rock
8,Audioslave,10,Audioslave,87,Gasoline,0.99,6709793,1,Rock
8,Audioslave,10,Audioslave,88,What You Are,0.99,5988186,1,Rock
8,Audioslave,10,Audioslave,89,Like a Stone,0.99,7059624,1,Rock
8,Audioslave,10,Audioslave,90,Set It Off,0.99,6321091,1,Rock
8,Audioslave,10,Audioslave,91,Shadow on the Sun,0.99,8245793,1,Rock
8,Audioslave,10,Audioslave,92,I am the Highway,0.99,8041411,1,Rock
8,Audioslave,10,Audioslave,93,Exploder,0.99,4948095,1,Rock
8,Audioslave,10,Audioslave,94,Hypnotize,0.99,4961887,1,Rock
8,Audioslave,10,Audioslave,95,Bring'em Back Alive,0.99,7911634,1,Rock
8,Audioslave,10,Audioslave,96,Light My Way,0.99,7289084,1,Rock
8,Audioslave,10,Audioslave,97,Getaway Car,0.99,7193162,1,Rock
8,Audioslave,10,Audioslave,98,The Last Remaining Light,0.99,7622615,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],337,You Shook Me,0.99,10249958,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],338,I Can't Quit You Baby,0.99,8581414,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],339,Communication Breakdown,0.99,6287257,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],340,Dazed and Confused,0.99,13035765,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],341,The Girl I Love She Got Long Black Wavy Hair,0.99,5995686,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],342,What is and Should Never Be,0.99,8497116,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],343,Communication Breakdown(2),0.99,5261022,1,Rock
